address_id,address_number,address_number_suffix,lat,lon,footprint,street_predir,street_name,street_posttype,street_postdir,postal_code,full_street_name,locality,municipality,province_state,country,address_type,property_footprint,building_type,has_pool,pool_id,valuation,pool_type,cover_type,discovery_date,address_std
56728,821,,43.551449,-80.1901328,,,Stone Road East,,,N1L 1B8,,,Guelph,Ontario,Canada,,0103000020E610000001000000050000001F6805862C0C54C0DE2A3EF493C64540F06206CF290C54C0DE2A3EF493C64540F06206CF290C54C0B8B87CDA97C645401F6805862C0C54C0B8B87CDA97C645401F6805862C0C54C0DE2A3EF493C64540,,True,83095,,0,,2025-12-10 01:59:00.069861+00:00,821 stone road east
56731,31,,43.5505242,-80.1890104,,,Glenholm Drive,,,N1L 1C2,,,Guelph,Ontario,Canada,,,,True,83098,,0,,2025-12-10 01:59:00.069861+00:00,31 glenholm drive
56734,49,,43.549741,-80.18897779999999,,,Glenholm Drive,,,N1L 1C2,,,Guelph,Ontario,Canada,,,,True,83096,,0,,2025-12-10 01:59:00.069861+00:00,49 glenholm drive
56744,533,,43.5517896,-80.1882949,,,Watson Road South,,,N1L 1C4,,,Guelph,Ontario,Canada,,0103000020E6100000010000000500000010AA79330F0C54C086DA80199DC64540184EE3280A0C54C086DA80199DC64540184EE3280A0C54C005E33B8CA4C6454010AA79330F0C54C005E33B8CA4C6454010AA79330F0C54C086DA80199DC64540,,True,83099,,0,,2025-12-10 01:59:00.069861+00:00,533 watson road south
56746,17,,43.5536109,-80.27718689999999,,,Brentwood Drive,,,N1H 5M6,,,Guelph,Ontario,Canada,,0103000020E610000001000000050000009E769DB2BF1154C04F520548D9C64540826F9A3EBB1154C04F520548D9C64540826F9A3EBB1154C0CFFE9B72E0C645409E769DB2BF1154C0CFFE9B72E0C645409E769DB2BF1154C04F520548D9C64540,,True,83100,,0,,2025-12-10 01:59:00.069861+00:00,17 brentwood drive
56749,132,,43.5522207,-80.2762755,,,Speedvale Avenue West,,,N1H 1K4,,,Guelph,Ontario,Canada,,,,True,83101,,0,,2025-12-10 01:59:00.069861+00:00,132 speedvale avenue west
56751,9,,43.5522839,-80.275274,,,Glebeholme Crescent,,,N1H 5M3,,,Guelph,Ontario,Canada,,0103000020E610000001000000050000006D020CCB9F1154C0FA298E03AFC6454075E558839C1154C0FA298E03AFC6454075E558839C1154C09E5C5320B3C645406D020CCB9F1154C09E5C5320B3C645406D020CCB9F1154C0FA298E03AFC64540,,True,83103,,0,,2025-12-10 01:59:00.069861+00:00,9 glebeholme crescent
56754,7,,43.5521415,-80.2750458,,,Glebeholme Crescent,,,N1H 5M3,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000F1063D409C1154C0323B8BDEA9C6454088EC2873981154C0323B8BDEA9C6454088EC2873981154C07D08AA46AFC64540F1063D409C1154C07D08AA46AFC64540F1063D409C1154C0323B8BDEA9C64540,,True,83105,,0,,2025-12-10 01:59:00.069861+00:00,7 glebeholme crescent
56756,128,,43.5524292,-80.27593089999999,,,Speedvale Avenue West,,,N1H 1K4,,,Guelph,Ontario,Canada,,0103000020E6100000010000000500000085A97702AB1154C0C2604898B3C6454028CAEF7EA61154C0C2604898B3C6454028CAEF7EA61154C0FBDC1A22B8C6454085A97702AB1154C0FBDC1A22B8C6454085A97702AB1154C0C2604898B3C64540,,True,83106,,1,,2025-12-10 01:59:00.069861+00:00,128 speedvale avenue west
56758,147,,43.5534943,-80.2739362,,,Westmount Road,,,N1H 5J3,,,Guelph,Ontario,Canada,,0103000020E610000001000000050000003C0DBD6A8A1154C0872FB88BD5C64540260BA9EC851154C0872FB88BD5C64540260BA9EC851154C0CB958B42DCC645403C0DBD6A8A1154C0CB958B42DCC645403C0DBD6A8A1154C0872FB88BD5C64540,,True,83107,,0,,2025-12-10 01:59:00.069861+00:00,147 westmount road
56762,84,,43.5536195,-80.2730531,,,Edgehill Drive,,,N1H 5E5,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000A34E8AA07B1154C0430070ECD9C64540C81C7002781154C0430070ECD9C64540C81C7002781154C0B7D672C2DFC64540A34E8AA07B1154C0B7D672C2DFC64540A34E8AA07B1154C0430070ECD9C64540,,True,83109,,0,,2025-12-10 01:59:00.069861+00:00,84 edgehill drive
56765,65,,43.5533468,-80.27142970000001,,,Edgehill Drive,,,N1H 5E4,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000B01303C9601154C0C4E347A1D1C6454065E1EB6B5D1154C0C4E347A1D1C6454065E1EB6B5D1154C074345882D6C64540B01303C9601154C074345882D6C64540B01303C9601154C0C4E347A1D1C64540,,True,83110,,0,,2025-12-10 01:59:00.069861+00:00,65 edgehill drive
56769,47,,43.5524887,-80.27016809999999,,,Edgehill Drive,,,N1H 5E3,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000028706184C1154C0EA77616BB6C645400AAF6E06491154C0EA77616BB6C645400AAF6E06491154C065CF543EBAC64540028706184C1154C065CF543EBAC64540028706184C1154C0EA77616BB6C64540,,True,83112,,0,,2025-12-10 01:59:00.069861+00:00,47 edgehill drive
56772,279,,43.5530932,-80.268869,,,Kathleen Street,,,N1H 4Y7,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000797764AC361154C040C23060C9C645405CDD561F341154C040C23060C9C645405CDD561F341154C049168B3ACEC64540797764AC361154C049168B3ACEC64540797764AC361154C040C23060C9C64540,,True,83115,,0,,2025-12-10 01:59:00.069861+00:00,279 kathleen street
56774,282,,43.5529221,-80.26954219999999,,,Kathleen Street,,,N1H 4Y5,,,Guelph,Ontario,Canada,,0103000020E6100000010000000500000037D66AB4411154C0FBF900EEC3C64540BC7BDBA73E1154C0FBF900EEC3C64540BC7BDBA73E1154C0C302A95EC8C6454037D66AB4411154C0C302A95EC8C6454037D66AB4411154C0FBF900EEC3C64540,,True,83116,,0,,2025-12-10 01:59:00.069861+00:00,282 kathleen street
56776,61,,43.5526471,-80.26647729999999,,,Division Street,,,N1H 1R3,,,Guelph,Ontario,Canada,,,,True,83117,,0,,2025-12-10 01:59:00.069861+00:00,61 division street
56778,268,,43.5539903,-80.2673611,,,Exhibition Street,,,N1H 4R7,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000E6C814BD1D1154C025462AE7E6C6454034FC02D51A1154C025462AE7E6C6454034FC02D51A1154C016FC917DEBC64540E6C814BD1D1154C016FC917DEBC64540E6C814BD1D1154C025462AE7E6C64540,,True,83118,,0,,2025-12-10 01:59:00.069861+00:00,268 exhibition street
56781,32,,43.5527429,-80.26764399999999,,,Saint Andrew Street,,,N1H 1N8,,,Guelph,Ontario,Canada,,0103000020E61000000100000005000000EE7893DF221154C01C599EACBDC6454085A39A481F1154C01C599EACBDC6454085A39A481F1154C0843F68E2C2C64540EE7893DF221154C0843F68E2C2C64540EE7893DF221154C01C599EACBDC64540,,True,83119,,0,,2025-12-10 01:59:00.069861+00:00,32 saint andrew street
